"","Latitude","Longitude"
"246",54.28286,16.48979
"247",54.2827,16.49008
"248",54.28253,16.49042
"249",54.28214,16.49118
"250",54.28182,16.49185
"251",54.28156,16.49242
"252",54.28132,16.49287
"253",54.28114,16.49325
"254",54.28097,16.49361
"255",54.28079,16.49399
"256",54.28073,16.49419
"257",54.28062,16.49455
"258",54.28057,16.49474
"259",54.28045,16.49515
"260",54.28033,16.49557
"261",54.28025,16.49576
"262",54.28019,16.49597
"263",54.28005,16.49639
"264",54.27998,16.4966
"265",54.27992,16.49682
"266",54.27986,16.49704
"267",54.27979,16.49725
"268",54.27965,16.49765
"269",54.27952,16.49805
"270",54.2794,16.49848
"271",54.27922,16.49898
"272",54.27899,16.4995
"273",54.27885,16.49976
"274",54.27858,16.50029
"275",54.27834,16.50074
"276",54.27823,16.50093
"277",54.27795,16.50126
"278",54.27778,16.50142
"279",54.2776,16.50158
"280",54.27719,16.50196
"281",54.27699,16.50215
"282",54.2766,16.50253
"283",54.27618,16.50291
"284",54.27576,16.50332
"285",54.27555,16.50351
"286",54.27535,16.50369
"287",54.27499,16.50403
"288",54.27466,16.50435
"289",54.27434,16.50462
"290",54.27404,16.50493
"291",54.27389,16.50511
"292",54.27358,16.50556
"293",54.27331,16.50598
"294",54.27319,16.50619
"295",54.27308,16.50639
"296",54.27293,16.50688
"297",54.27287,16.50714
"298",54.27285,16.50739
"299",54.2728,16.508
"300",54.27276,16.50858
"301",54.27277,16.50882
"302",54.27283,16.50936
"303",54.27291,16.50982
"304",54.27296,16.51004
"305",54.27299,16.51024
"306",54.27307,16.51061
"307",54.27313,16.51077
"308",54.27329,16.51106
"309",54.27338,16.5112
"310",54.27344,16.51137
"311",54.27351,16.51171
"312",54.2735,16.51215
"313",54.27351,16.51243
"314",54.27349,16.51275
"315",54.27345,16.5134
"316",54.27343,16.51372
"317",54.27334,16.51449
"318",54.2733,16.51491
"319",54.27325,16.51533
"320",54.27315,16.51613
"321",54.2731,16.51652
"322",54.27302,16.51727
"323",54.27294,16.51795
"324",54.27289,16.51828
"325",54.27281,16.51889
"326",54.27273,16.51945
"327",54.27268,16.51971
"328",54.27261,16.52017
"329",54.27256,16.52039
"330",54.27249,16.52078
"331",54.27241,16.52115
"332",54.27237,16.52134
"333",54.27233,16.52177
"334",54.27234,16.52202
"335",54.27237,16.52228
"336",54.27242,16.52254
"337",54.27249,16.52302
"338",54.27253,16.52325
"339",54.27259,16.52374
"340",54.27263,16.5243
"341",54.27262,16.52484
"342",54.27261,16.52507
"343",54.27261,16.52527
"344",54.27261,16.52549
"345",54.27259,16.52593
"346",54.27258,16.52614
"347",54.27257,16.52653
"348",54.27259,16.52671
"349",54.27261,16.52715
"350",54.27262,16.52766
"351",54.27265,16.52801
"352",54.27268,16.52879
"353",54.27269,16.52951
"354",54.2727,16.52987
"355",54.27268,16.53022
"356",54.27275,16.53075
"357",54.27276,16.53102
"358",54.2728,16.53127
"359",54.2729,16.53177
"360",54.27298,16.53231
"361",54.27302,16.53258
"362",54.27314,16.53312
"363",54.2732,16.53369
"364",54.27325,16.53427
"365",54.2733,16.5345
"366",54.27335,16.53509
"367",54.27341,16.53577
"368",54.27346,16.53607
"369",54.2735,16.53672
"370",54.27352,16.53735
"371",54.27352,16.53809
"372",54.27353,16.53846
"373",54.27352,16.53885
"374",54.27352,16.53925
"375",54.27351,16.53963
"376",54.27351,16.53999
"377",54.2735,16.54034
"378",54.27346,16.54104
"379",54.27345,16.54137
"380",54.2734,16.54217
"381",54.27337,16.54258
"382",54.27333,16.54326
"383",54.2733,16.5436
"384",54.27326,16.54423
"385",54.27323,16.54453
"386",54.27318,16.54485
"387",54.27304,16.54548
"388",54.27297,16.5458
"389",54.27282,16.54646
"390",54.27269,16.54705
"391",54.27264,16.54733
"392",54.27258,16.5476
"393",54.27249,16.5481
"394",54.27244,16.54833
"395",54.27242,16.54855
"396",54.27234,16.54895
"397",54.27231,16.54914
"398",54.27224,16.54951
"399",54.27219,16.54986
"400",54.27216,16.55001
"401",54.27211,16.55033
"402",54.27209,16.55047
"403",54.27205,16.55073
"404",54.27203,16.55094
"405",54.272,16.55115
"406",54.2719,16.5512
"407",54.27183,16.55121
"408",54.27169,16.55119
"409",54.27157,16.55109
"410",54.2715,16.55107
"411",54.27133,16.55104
"412",54.27114,16.55101
"413",54.27108,16.55103
"414",54.27094,16.55114
"415",54.27078,16.55128
"416",54.2706,16.55146
"417",54.27038,16.55169
"418",54.27005,16.55212
"419",54.26987,16.55237
"420",54.26943,16.55295
"421",54.26892,16.55361
"422",54.26839,16.55433
"423",54.26815,16.55465
"424",54.26791,16.55496
"425",54.26749,16.55553
"426",54.26714,16.55599
"427",54.26682,16.55641
"428",54.26654,16.55681
"429",54.26641,16.55698
"430",54.2662,16.55728
"431",54.26602,16.55754
"432",54.26589,16.55781
"433",54.26588,16.55806
"434",54.26585,16.55817
"435",54.26579,16.55834
"436",54.26572,16.55853
"437",54.26569,16.55862
"438",54.26567,16.55869
"439",54.26561,16.55887
"440",54.26558,16.55897
"441",54.26552,16.55913
"442",54.2655,16.55922
"443",54.26543,16.55943
"444",54.26539,16.55961
"445",54.26536,16.55972
"446",54.26533,16.5598
"447",54.2653,16.55988
"448",54.26528,16.56002
"449",54.26523,16.56027
"450",54.26518,16.5605
"451",54.26518,16.56059
"452",54.26509,16.56081
"453",54.26505,16.56092
"454",54.26502,16.56101
"455",54.26499,16.56116
"456",54.26496,16.56139
"457",54.26488,16.56157
"458",54.26482,16.56179
"459",54.26479,16.56196
"460",54.26484,16.56215
"461",54.26477,16.56232
"462",54.26472,16.56258
"463",54.26465,16.56279
"464",54.26463,16.56294
"465",54.2646,16.56328
"466",54.26454,16.56344
"467",54.26442,16.56377
"468",54.2643,16.56403
"469",54.2642,16.5643
"470",54.26409,16.56448
"471",54.26401,16.56458
"472",54.26382,16.56478
"473",54.26373,16.56487
"474",54.26353,16.56505
"475",54.26342,16.56514
"476",54.26321,16.56535
"477",54.26312,16.56549
"478",54.26294,16.5658
"479",54.26282,16.56588
"480",54.26272,16.56612
"481",54.26265,16.56622
"482",54.26252,16.56637
"483",54.26243,16.56647
"484",54.26236,16.56657
"485",54.26228,16.56669
"486",54.26212,16.5669
"487",54.26195,16.56718
"488",54.26186,16.56729
"489",54.26163,16.56755
"490",54.26146,16.56782
"491",54.26131,16.56809
"492",54.26122,16.56819
"493",54.26109,16.56823
"494",54.26083,16.56835
"495",54.26068,16.56852
"496",54.26053,16.56873
"497",54.26049,16.56886
"498",54.26031,16.56911
"499",54.26018,16.56934
"500",54.26009,16.56946
"501",54.25989,16.56966
"502",54.25986,16.56978
"503",54.25984,16.56991
"504",54.25967,16.57015
"505",54.25955,16.57026
"506",54.25943,16.57055
"507",54.25926,16.5708
"508",54.2591,16.5711
"509",54.25899,16.57121
"510",54.25891,16.57133
"511",54.25883,16.57145
"512",54.25869,16.57176
"513",54.25856,16.57208
"514",54.2585,16.57224
"515",54.25845,16.57233
"516",54.25838,16.57256
"517",54.25837,16.57267
"518",54.25831,16.57285
"519",54.25826,16.57304
"520",54.25819,16.57323
"521",54.25816,16.57332
"522",54.25809,16.57352
"523",54.25805,16.5736
"524",54.25796,16.57366
"525",54.25785,16.57383
"526",54.25766,16.57401
"527",54.25757,16.57409
"528",54.25748,16.57419
"529",54.25731,16.57437
"530",54.25716,16.57459
"531",54.25705,16.57472
"532",54.25684,16.57509
"533",54.25668,16.5754
"534",54.25658,16.57556
"535",54.25656,16.57579
"536",54.25627,16.57589
"537",54.25602,16.5761
"538",54.25588,16.57619
"539",54.25578,16.57632
"540",54.25558,16.57662
"541",54.25546,16.57675
"542",54.25527,16.57703
"543",54.25518,16.57715
"544",54.25503,16.57749
"545",54.25495,16.57765
"546",54.2548,16.57788
