Date(GMT),Date(Local),Time(sec),Latitude,Longitude,Horizontal Accuracy(m),Altitude(m),Vertical Accuracy(m),Distance(m),Speed(m/s),Average Speed(m/s),Course(deg),True Heading(deg),Magnetic Heading(deg),Heading Accuracy(deg),Glide Ratio
2016-08-13 18:32:06.00,2016-08-13 20:32:06.00,8648.28849619627,54.298937,16.505489,5,33.36014549240981,8,118396.4380773762,26.27000045776367,25.12620251486946,239.765625,291.5579223632812,286.7536315917969,25,-954.5015203518265
2016-08-13 18:32:07.00,2016-08-13 20:32:07.00,8649.288496315479,54.298817,16.505136,5,32.87651142109874,8,118423.0278361554,27.23999977111816,25.12620251486946,241.171875,291.5579223632812,286.7536315917969,25,-323.2771996994029
2016-08-13 18:32:08.00,2016-08-13 20:32:08.00,8650.288496077061,54.298699,16.504767,5,32.62856773354099,8,118450.3074381192,27.75,25.12620251486946,241.875,291.5579223632812,286.7536315917969,25,-191.0787968176563
2016-08-13 18:32:09.00,2016-08-13 20:32:09.00,8651.288495957851,54.298579,16.504399,5,32.54571561167241,8,118477.6952683084,27.29000091552734,25.12620251486946,242.9296875,291.5579223632812,286.7536315917969,25,-136.0893898346831
2016-08-13 18:32:10.00,2016-08-13 20:32:10.00,8652.288496673107,54.298468,16.504037,5,30.59523052584427,8,118504.2506938022,26.59000015258789,25.12620251486946,242.9296875,291.5579223632812,286.7536315917969,25,-103.6731782233353
2016-08-13 18:32:11.00,2016-08-13 20:32:11.00,8653.288496732712,54.298362,16.503671,5,28.70866352170269,8,118530.8052688991,25.69000053405762,25.12620251486946,242.9296875,291.5579223632812,286.7536315917969,25,-81.18912393919594
2016-08-13 18:32:12.00,2016-08-13 20:32:12.00,8654.288496375084,54.298266,16.503310,5,27.11185168593433,8,118556.6121828171,25.73999977111816,25.12620251486946,244.3359375,291.5579223632812,286.7536315917969,25,-65.19359026943373
2016-08-13 18:32:13.00,2016-08-13 20:32:13.00,8655.288495779037,54.298173,16.502955,5,25.97825650130924,8,118581.8821823566,24.44000053405762,25.12620251486946,243.984375,291.5579223632812,286.7536315917969,25,-56.44594545025117
2016-08-13 18:32:14.00,2016-08-13 20:32:14.00,8656.288495779037,54.298087,16.502652,5,25.15973275930588,8,118603.7626191829,23.3799991607666,25.12620251486946,243.28125,291.5579223632812,286.7536315917969,25,-51.40404859749668
2016-08-13 18:32:14.11,2016-08-13 20:32:14.11,8656.288495779037,54.298087,16.502652,5,25.15973275930588,8,118603.7626191829,23.3799991607666,24.44000053405762,243.28125,291.5579223632812,286.7536315917969,25,-51.40404859749668
2016-08-13 18:32:15.00,2016-08-13 20:32:15.00,8657.288496494293,54.298001,16.502341,5,23.45410956818972,8,118626.0757587261,22.96999931335449,24.44000053405762,242.9296875,291.5579223632812,286.7536315917969,25,-48.29181684532413
