Date(GMT),Date(Local),Time(sec),Latitude,Longitude,Horizontal Accuracy(m),Altitude(m),Vertical Accuracy(m),Distance(m),Speed(m/s),Average Speed(m/s),Course(deg),True Heading(deg),Magnetic Heading(deg),Heading Accuracy(deg),Glide Ratio
2016-08-16 15:47:08.00,2016-08-16 17:47:08.00,161.5780708789825,54.261685,16.412778,5,46.07996095453402,3,103.0997970240206,5.900000095367432,3.437330111557891,348.3984375,258.4493103027344,253.8106536865234,15,-175.4382487270129
2016-08-16 15:47:09.00,2016-08-16 17:47:09.00,162.5780712962151,54.261732,16.412766,5,46.07996095453402,3,108.3227657779396,4.670000076293945,3.437330111557891,348.046875,258.4493103027344,253.8106536865234,15,-179.6160317576917
2016-08-16 15:47:10.22,2016-08-16 17:47:10.22,162.5780712962151,54.261732,16.412766,5,45.78301065942991,3,108.3227657779396,4.670000076293945,4.946483325510734,348.046875,258.4493103027344,253.8106536865234,15,-179.6160317576917
2016-08-16 15:47:11.00,2016-08-16 17:47:11.00,164.578071475029,54.261790,16.412743,5,45.45784239971631,3,114.9960160965244,2.319999933242798,4.946483325510734,340.3125,258.4493103027344,253.8106536865234,15,-146.0131097962836
2016-08-16 15:47:19.00,2016-08-16 17:47:19.00,172.5780716538429,54.261862,16.412699,5,45.4628935759234,3,123.5265003374393,2.900000095367432,4.946483325510734,342.0703125,258.4493103027344,253.8106536865234,15,-65.90385402474352
2016-08-16 15:47:20.00,2016-08-16 17:47:20.00,173.578070640564,54.261911,16.412676,5,45.96368986920578,3,129.1355681871603,4.760000228881836,4.946483325510734,342.0703125,258.4493103027344,253.8106536865234,15,-69.10965124032388
2016-08-16 15:47:21.00,2016-08-16 17:47:21.00,174.578070640564,54.261966,16.412656,5,45.94781568145636,3,135.4083169256878,6.090000152587891,4.946483325510734,342.7734375,258.4493103027344,253.8106536865234,15,-73.89351944335152
2016-08-16 15:47:22.00,2016-08-16 17:47:22.00,175.5780709981918,54.262014,16.412630,5,46.15577100135738,3,141.0262350636852,5.820000171661377,4.946483325510734,344.53125,258.4493103027344,253.8106536865234,15,-81.54859232176999
2016-08-16 15:47:23.00,2016-08-16 17:47:23.00,176.5780716538429,54.262072,16.412598,5,46.09380721436438,3,147.7674956435937,5.920000076293945,4.946483325510734,345.5859375,258.4493103027344,253.8106536865234,15,-91.84109170817872
2016-08-16 15:47:24.00,2016-08-16 17:47:24.00,177.5780721902847,54.262129,16.412570,5,46.46472932530649,3,154.4013754102048,5.920000076293945,4.946483325510734,345.9375,258.4493103027344,253.8106536865234,15,-103.1608108315533
2016-08-16 15:47:25.00,2016-08-16 17:47:25.00,178.5780712366104,54.262197,16.412527,5,46.49347667983547,3,162.4243767593695,6.409999847412109,4.946483325510734,344.53125,258.4493103027344,253.8106536865234,15,-116.2192504652777
2016-08-16 15:47:25.14,2016-08-16 17:47:25.14,178.5780712366104,54.262197,16.412527,5,46.49347667983547,3,162.4243767593695,6.409999847412109,6.339188702555205,344.53125,258.4493103027344,253.8106536865234,15,-116.2192504652777
