Date, Latitude, Longitude, Altitude, Velocity
17:49:18, 53.48821, 15.86410, 98, 0
17:49:20, 53.48821, 15.86410, 98, 0
17:49:22, 53.48821, 15.86410, 98, 0
17:49:24, 53.48821, 15.86410, 98, 0
17:49:25, 53.48821, 15.86410, 98, 0
17:49:26, 53.48821, 15.86410, 98, 0
17:49:28, 53.48821, 15.86410, 98, 0
17:49:30, 53.48821, 15.86410, 98, 0
17:49:31, 53.48821, 15.86410, 98, 0
17:49:32, 53.48821, 15.86410, 98, 0
17:49:34, 53.48821, 15.86410, 98, 0
17:49:36, 53.48821, 15.86410, 98, 0
17:49:38, 53.48821, 15.86410, 98, 0
17:49:39, 53.48821, 15.86410, 98, 0
17:49:40, 53.48821, 15.86410, 98, 0
17:49:42, 53.48821, 15.86410, 98, 0
17:49:43, 53.48821, 15.86410, 98, 0
17:49:45, 53.48822, 15.86414, 98, 5
17:49:46, 53.48822, 15.86416, 98, 7
17:49:47, 53.48823, 15.86419, 98, 7
17:49:49, 53.48824, 15.86427, 99, 13
17:49:50, 53.48826, 15.86434, 99, 18
17:49:52, 53.48828, 15.86445, 99, 9
17:49:54, 53.48829, 15.86452, 99, 8
17:49:55, 53.48829, 15.86455, 99, 9
17:49:57, 53.48829, 15.86463, 99, 8
17:49:59, 53.48829, 15.86471, 99, 8
17:50:01, 53.48831, 15.86477, 99, 9
17:50:03, 53.48834, 15.86483, 99, 9
17:50:05, 53.48845, 15.86481, 99, 19
17:50:06, 53.48850, 15.86478, 99, 22
17:50:07, 53.48856, 15.86473, 99, 25
17:50:09, 53.48869, 15.86474, 99, 26
17:50:10, 53.48877, 15.86475, 99, 32
17:50:11, 53.48886, 15.86476, 100, 36
17:50:13, 53.48906, 15.86485, 101, 42
17:50:14, 53.48916, 15.86490, 101, 43
17:50:16, 53.48934, 15.86494, 101, 36
17:50:18, 53.48951, 15.86487, 100, 30
17:50:20, 53.48964, 15.86475, 100, 30
17:50:22, 53.48976, 15.86461, 101, 29
17:50:24, 53.48987, 15.86446, 101, 26
17:50:25, 53.48992, 15.86437, 101, 28
17:50:27, 53.49005, 15.86420, 101, 36
17:50:28, 53.49013, 15.86410, 102, 41
17:50:29, 53.49022, 15.86400, 101, 44
17:50:31, 53.49042, 15.86377, 101, 49
17:50:32, 53.49053, 15.86363, 101, 50
17:50:34, 53.49072, 15.86337, 100, 53
17:50:35, 53.49083, 15.86323, 100, 53
17:50:37, 53.49103, 15.86294, 100, 54
17:50:39, 53.49124, 15.86264, 99, 54
17:50:41, 53.49144, 15.86234, 100, 53
17:50:42, 53.49154, 15.86219, 99, 54
17:50:43, 53.49164, 15.86204, 99, 52
17:50:45, 53.49178, 15.86172, 99, 50
17:50:47, 53.49193, 15.86135, 101, 56
17:50:49, 53.49210, 15.86095, 100, 58
17:50:50, 53.49217, 15.86076, 99, 57
17:50:51, 53.49226, 15.86057, 98, 56
17:50:53, 53.49241, 15.86017, 99, 55
17:50:54, 53.49249, 15.85997, 98, 59
17:50:56, 53.49263, 15.85955, 99, 61
17:50:58, 53.49276, 15.85908, 97, 59
17:50:59, 53.49281, 15.85886, 99, 60
17:51:01, 53.49292, 15.85839, 98, 58
17:51:02, 53.49296, 15.85817, 98, 57
17:51:04, 53.49306, 15.85772, 97, 51
17:51:05, 53.49308, 15.85755, 96, 43
17:51:07, 53.49315, 15.85723, 97, 39
17:51:09, 53.49321, 15.85693, 97, 40
17:51:10, 53.49323, 15.85676, 98, 41
17:51:11, 53.49328, 15.85659, 98, 41
17:51:13, 53.49330, 15.85626, 97, 42
17:51:14, 53.49333, 15.85610, 97, 44
17:51:16, 53.49343, 15.85566, 99, 53
17:51:18, 53.49354, 15.85523, 99, 51
17:51:19, 53.49358, 15.85504, 99, 48
17:51:20, 53.49362, 15.85486, 99, 50
17:51:21, 53.49366, 15.85465, 99, 51
17:51:23, 53.49374, 15.85424, 99, 54
17:51:24, 53.49379, 15.85401, 99, 56
17:51:26, 53.49390, 15.85354, 98, 53
17:51:28, 53.49398, 15.85319, 96, 47
17:51:29, 53.49403, 15.85301, 96, 45
17:51:30, 53.49408, 15.85286, 95, 42
17:51:32, 53.49421, 15.85261, 94, 37
17:51:33, 53.49427, 15.85251, 94, 33
17:51:35, 53.49435, 15.85233, 93, 22
17:51:37, 53.49431, 15.85213, 93, 32
17:51:39, 53.49423, 15.85183, 94, 43
17:51:41, 53.49414, 15.85147, 94, 41
17:51:42, 53.49409, 15.85134, 93, 38
17:51:43, 53.49403, 15.85122, 93, 36
17:51:45, 53.49393, 15.85100, 92, 35
17:51:46, 53.49385, 15.85091, 92, 36
17:51:48, 53.49367, 15.85074, 94, 44
17:51:49, 53.49355, 15.85063, 94, 51
17:51:50, 53.49343, 15.85053, 94, 51
17:51:51, 53.49335, 15.85045, 93, 45
17:51:53, 53.49318, 15.85029, 93, 42
17:51:54, 53.49309, 15.85019, 94, 40
17:51:56, 53.49294, 15.84997, 93, 38
17:51:57, 53.49289, 15.84986, 93, 39
17:51:59, 53.49277, 15.84960, 93, 41
17:52:00, 53.49271, 15.84947, 93, 42
17:52:01, 53.49264, 15.84934, 93, 42
17:52:03, 53.49249, 15.84910, 93, 41
17:52:05, 53.49240, 15.84884, 92, 35
17:52:06, 53.49238, 15.84871, 92, 34
17:52:07, 53.49233, 15.84862, 92, 29
17:52:09, 53.49227, 15.84840, 94, 29
17:52:10, 53.49228, 15.84805, 96, 49
17:52:12, 53.49228, 15.84763, 96, 49
17:52:14, 53.49227, 15.84721, 98, 47
17:52:15, 53.49226, 15.84702, 98, 44
17:52:17, 53.49226, 15.84667, 100, 40
17:52:19, 53.49226, 15.84627, 102, 46
17:52:21, 53.49225, 15.84574, 104, 60
17:52:23, 53.49225, 15.84517, 104, 64
17:52:25, 53.49224, 15.84462, 105, 64
17:52:26, 53.49224, 15.84431, 106, 66
17:52:28, 53.49222, 15.84378, 107, 66
17:52:29, 53.49223, 15.84349, 107, 65
17:52:31, 53.49221, 15.84290, 107, 64
17:52:33, 53.49220, 15.84237, 108, 63
17:52:34, 53.49217, 15.84210, 109, 62
17:52:36, 53.49221, 15.84156, 110, 63
17:52:37, 53.49223, 15.84129, 111, 63
17:52:39, 53.49226, 15.84073, 112, 66
17:52:40, 53.49230, 15.84043, 112, 64
17:52:41, 53.49234, 15.84014, 112, 69
17:52:43, 53.49239, 15.83958, 111, 66
17:52:45, 53.49247, 15.83896, 112, 70
17:52:46, 53.49251, 15.83867, 112, 73
17:52:48, 53.49255, 15.83810, 112, 73
17:52:49, 53.49258, 15.83780, 112, 74
17:52:51, 53.49262, 15.83720, 113, 74
17:52:52, 53.49266, 15.83690, 114, 68
17:52:53, 53.49270, 15.83661, 114, 63
17:52:54, 53.49274, 15.83635, 114, 61
17:52:56, 53.49279, 15.83582, 114, 67
17:52:57, 53.49281, 15.83554, 114, 70
17:52:58, 53.49283, 15.83523, 114, 73
17:53:00, 53.49283, 15.83462, 114, 75
17:53:02, 53.49279, 15.83408, 113, 67
17:53:04, 53.49277, 15.83344, 113, 76
17:53:05, 53.49277, 15.83306, 114, 78
17:53:07, 53.49276, 15.83234, 114, 82
17:53:08, 53.49274, 15.83199, 115, 81
17:53:10, 53.49271, 15.83131, 115, 80
17:53:11, 53.49270, 15.83098, 116, 80
17:53:13, 53.49267, 15.83033, 116, 75
17:53:15, 53.49265, 15.82974, 115, 68
17:53:17, 53.49264, 15.82915, 115, 70
17:53:19, 53.49264, 15.82855, 115, 70
17:53:21, 53.49265, 15.82794, 113, 72
17:53:23, 53.49263, 15.82734, 113, 73
17:53:25, 53.49262, 15.82673, 112, 73
17:53:27, 53.49260, 15.82613, 111, 72
17:53:29, 53.49257, 15.82553, 111, 70
17:53:30, 53.49257, 15.82525, 111, 68
17:53:31, 53.49255, 15.82497, 110, 68
17:53:33, 53.49256, 15.82437, 109, 69
17:53:35, 53.49254, 15.82379, 109, 70
17:53:37, 53.49251, 15.82321, 108, 67
17:53:39, 53.49248, 15.82268, 107, 60
17:53:41, 53.49247, 15.82223, 105, 46
17:53:42, 53.49247, 15.82207, 103, 35
17:53:43, 53.49248, 15.82192, 102, 34
17:53:45, 53.49255, 15.82166, 102, 39
17:53:46, 53.49261, 15.82152, 101, 46
17:53:47, 53.49268, 15.82137, 102, 51
17:53:49, 53.49285, 15.82103, 102, 57
17:53:51, 53.49306, 15.82063, 101, 63
17:53:52, 53.49316, 15.82045, 101, 65
17:53:53, 53.49327, 15.82024, 101, 66
17:53:54, 53.49337, 15.82003, 101, 66
17:53:55, 53.49348, 15.81984, 101, 67
17:53:56, 53.49359, 15.81963, 102, 65
17:53:58, 53.49378, 15.81924, 101, 59
17:54:00, 53.49397, 15.81889, 101, 53
17:54:02, 53.49416, 15.81856, 100, 55
17:54:03, 53.49425, 15.81838, 100, 56
17:54:04, 53.49434, 15.81820, 99, 54
17:54:06, 53.49453, 15.81790, 99, 56
17:54:08, 53.49475, 15.81759, 97, 56
17:54:10, 53.49498, 15.81731, 97, 55
17:54:11, 53.49508, 15.81717, 97, 55
17:54:12, 53.49518, 15.81705, 98, 48
17:54:14, 53.49536, 15.81679, 97, 48
17:54:16, 53.49552, 15.81656, 95, 41
17:54:17, 53.49560, 15.81646, 96, 41
17:54:18, 53.49565, 15.81630, 96, 42
17:54:20, 53.49575, 15.81588, 97, 48
17:54:22, 53.49588, 15.81540, 97, 60
17:54:23, 53.49594, 15.81516, 97, 61
17:54:25, 53.49605, 15.81465, 98, 59
17:54:27, 53.49610, 15.81418, 97, 56
17:54:29, 53.49613, 15.81371, 96, 56
17:54:30, 53.49614, 15.81352, 96, 51
17:54:32, 53.49617, 15.81316, 96, 45
17:54:34, 53.49617, 15.81276, 97, 42
17:54:36, 53.49616, 15.81239, 97, 45
17:54:37, 53.49616, 15.81216, 97, 43
17:54:38, 53.49623, 15.81189, 97, 48
17:54:39, 53.49625, 15.81169, 97, 48
17:54:41, 53.49623, 15.81142, 95, 34
17:54:42, 53.49621, 15.81127, 96, 35
17:54:44, 53.49608, 15.81097, 97, 48
17:54:46, 53.49597, 15.81055, 98, 55
17:54:48, 53.49585, 15.81015, 98, 54
17:54:49, 53.49578, 15.80992, 98, 56
17:54:50, 53.49573, 15.80970, 98, 58
17:54:52, 53.49562, 15.80923, 100, 60
17:54:53, 53.49556, 15.80897, 101, 64
17:54:54, 53.49551, 15.80868, 101, 66
17:54:56, 53.49545, 15.80809, 103, 64
17:54:57, 53.49541, 15.80783, 102, 63
17:54:59, 53.49534, 15.80734, 103, 62
17:55:00, 53.49531, 15.80708, 104, 62
17:55:01, 53.49524, 15.80685, 103, 62
17:55:02, 53.49520, 15.80660, 102, 62
17:55:04, 53.49506, 15.80615, 99, 60
17:55:06, 53.49492, 15.80573, 98, 55
17:55:07, 53.49484, 15.80554, 98, 55
17:55:09, 53.49466, 15.80517, 97, 55
17:55:10, 53.49456, 15.80500, 97, 58
17:55:12, 53.49432, 15.80470, 96, 54
17:55:14, 53.49406, 15.80455, 96, 55
17:55:16, 53.49378, 15.80449, 96, 55
17:55:18, 53.49351, 15.80459, 96, 56
17:55:19, 53.49340, 15.80464, 97, 52
17:55:21, 53.49318, 15.80465, 98, 45
17:55:22, 53.49306, 15.80463, 98, 46
17:55:23, 53.49295, 15.80459, 99, 47
17:55:25, 53.49277, 15.80438, 101, 48
17:55:26, 53.49273, 15.80412, 102, 55
17:55:28, 53.49259, 15.80368, 104, 67
17:55:29, 53.49252, 15.80344, 105, 65
17:55:30, 53.49244, 15.80324, 104, 59
17:55:32, 53.49237, 15.80283, 102, 44
17:55:34, 53.49237, 15.80243, 101, 47
17:55:36, 53.49244, 15.80202, 101, 52
17:55:37, 53.49246, 15.80181, 100, 52
17:55:38, 53.49250, 15.80161, 100, 51
17:55:40, 53.49257, 15.80124, 98, 45
17:55:41, 53.49258, 15.80107, 98, 42
17:55:43, 53.49258, 15.80075, 97, 31
17:55:45, 53.49255, 15.80055, 96, 21
17:55:47, 53.49253, 15.80043, 96, 8
17:55:48, 53.49253, 15.80040, 95, 7
17:55:49, 53.49253, 15.80038, 95, 4
17:55:51, 53.49253, 15.80038, 95, 0
17:55:53, 53.49253, 15.80038, 96, 0
17:55:55, 53.49253, 15.80038, 96, 0
17:55:57, 53.49249, 15.80035, 96, 14
17:55:59, 53.49236, 15.80042, 97, 27
17:56:00, 53.49228, 15.80049, 97, 40
17:56:02, 53.49208, 15.80075, 99, 56
17:56:03, 53.49196, 15.80090, 100, 65
17:56:04, 53.49182, 15.80106, 101, 70
17:56:05, 53.49168, 15.80124, 102, 75
17:56:07, 53.49136, 15.80164, 103, 83
17:56:08, 53.49120, 15.80184, 102, 81
17:56:09, 53.49104, 15.80204, 102, 81
17:56:11, 53.49073, 15.80245, 101, 80
17:56:12, 53.49057, 15.80266, 101, 79
17:56:14, 53.49026, 15.80305, 101, 78
17:56:16, 53.48996, 15.80341, 100, 78
17:56:17, 53.48979, 15.80361, 100, 81
17:56:19, 53.48945, 15.80405, 102, 89
17:56:21, 53.48907, 15.80447, 102, 89
17:56:23, 53.48869, 15.80488, 101, 87
17:56:24, 53.48851, 15.80507, 100, 85
17:56:25, 53.48834, 15.80525, 99, 84
17:56:27, 53.48799, 15.80563, 98, 83
17:56:29, 53.48767, 15.80604, 98, 83
17:56:30, 53.48749, 15.80621, 99, 83
17:56:32, 53.48714, 15.80657, 98, 82
17:56:33, 53.48697, 15.80676, 98, 82
17:56:35, 53.48661, 15.80711, 97, 81
17:56:36, 53.48644, 15.80728, 96, 80
17:56:38, 53.48611, 15.80763, 96, 79
17:56:40, 53.48577, 15.80799, 96, 81
17:56:41, 53.48559, 15.80817, 96, 84
17:56:42, 53.48541, 15.80834, 96, 86
17:56:44, 53.48504, 15.80873, 97, 89
17:56:46, 53.48466, 15.80913, 97, 92
17:56:48, 53.48427, 15.80952, 97, 88
17:56:50, 53.48390, 15.80989, 95, 86
17:56:52, 53.48353, 15.81027, 95, 84
17:56:53, 53.48336, 15.81046, 95, 83
17:56:55, 53.48303, 15.81083, 94, 83
17:56:56, 53.48285, 15.81101, 94, 82
17:56:58, 53.48250, 15.81138, 94, 83
17:56:59, 53.48232, 15.81157, 94, 78
17:57:00, 53.48216, 15.81175, 93, 73
17:57:01, 53.48201, 15.81191, 91, 68
17:57:03, 53.48172, 15.81218, 90, 66
17:57:05, 53.48144, 15.81248, 90, 65
17:57:07, 53.48116, 15.81269, 88, 62
17:57:09, 53.48086, 15.81285, 89, 62
17:57:11, 53.48053, 15.81298, 90, 68
17:57:12, 53.48036, 15.81304, 90, 68
17:57:14, 53.48002, 15.81317, 90, 70
17:57:16, 53.47967, 15.81332, 91, 70
17:57:17, 53.47951, 15.81338, 91, 68
17:57:19, 53.47920, 15.81352, 92, 66
17:57:21, 53.47889, 15.81364, 94, 66
17:57:23, 53.47854, 15.81375, 96, 69
17:57:24, 53.47836, 15.81382, 98, 72
17:57:26, 53.47801, 15.81400, 101, 77
17:57:28, 53.47768, 15.81430, 104, 78
17:57:29, 53.47752, 15.81449, 105, 78
17:57:31, 53.47721, 15.81492, 108, 83
17:57:33, 53.47689, 15.81538, 110, 86
17:57:35, 53.47655, 15.81586, 112, 89
17:57:37, 53.47622, 15.81631, 114, 85
17:57:39, 53.47591, 15.81676, 115, 83
17:57:40, 53.47577, 15.81698, 116, 82
17:57:42, 53.47546, 15.81744, 116, 83
17:57:43, 53.47531, 15.81766, 115, 83
17:57:45, 53.47500, 15.81809, 115, 77
17:57:46, 53.47487, 15.81831, 113, 72
17:57:47, 53.47473, 15.81850, 112, 69
17:57:49, 53.47449, 15.81884, 110, 63
17:57:50, 53.47437, 15.81901, 110, 65
17:57:51, 53.47426, 15.81923, 110, 66
17:57:53, 53.47411, 15.81971, 110, 62
17:57:55, 53.47401, 15.82016, 107, 54
17:57:56, 53.47395, 15.82037, 106, 52
17:57:58, 53.47391, 15.82050, 103, 11
17:57:59, 53.47390, 15.82054, 103, 9
17:58:01, 53.47390, 15.82061, 102, 9
17:58:02, 53.47397, 15.82064, 102, 12
17:58:04, 53.47403, 15.82069, 103, 15
17:58:05, 53.47405, 15.82071, 103, 14
17:58:07, 53.47407, 15.82080, 104, 23
17:58:08, 53.47407, 15.82092, 104, 27
17:58:10, 53.47408, 15.82117, 106, 38
17:58:11, 53.47410, 15.82137, 105, 38
17:58:13, 53.47408, 15.82177, 107, 47
17:58:15, 53.47408, 15.82220, 107, 53
17:58:17, 53.47408, 15.82266, 108, 55
17:58:18, 53.47407, 15.82291, 108, 57
17:58:20, 53.47405, 15.82338, 109, 57
17:58:21, 53.47404, 15.82362, 109, 57
17:58:23, 53.47397, 15.82412, 108, 58
17:58:25, 53.47388, 15.82457, 108, 56
17:58:27, 53.47377, 15.82500, 108, 59
17:58:29, 53.47364, 15.82548, 110, 63
17:58:31, 53.47347, 15.82596, 110, 72
17:58:32, 53.47336, 15.82621, 110, 79
17:58:33, 53.47323, 15.82649, 111, 83
17:58:34, 53.47310, 15.82678, 113, 87
17:58:36, 53.47285, 15.82737, 112, 85
17:58:37, 53.47273, 15.82764, 111, 78
17:58:39, 53.47250, 15.82816, 110, 76
