Date(GMT),Date(Local),Time(sec),Latitude,Longitude,Horizontal Accuracy(m),Altitude(m),Vertical Accuracy(m),Distance(m),Speed(m/s),Average Speed(m/s),Course(deg),True Heading(deg),Magnetic Heading(deg),Heading Accuracy(deg),Glide Ratio
2016-08-12 16:31:54.99,2016-08-12 18:31:54.99,295.2477384209633,54.260947,16.412951,5,46.56588402223611,3,26.33024189400053,5.260000228881836,0,21.4453125,186.73486328125,182.1034545898438,20,-14.9020291655799
2016-08-12 16:31:55.99,2016-08-12 18:31:55.99,296.2477379441261,54.260995,16.412981,5,46.1481173203649,3,32.09105163428713,5.980000019073486,0,22.5,186.73486328125,182.1034545898438,20,-21.99934327017775
2016-08-12 16:31:56.99,2016-08-12 18:31:56.99,297.2477372288704,54.261045,16.413014,5,46.62365666677951,3,38.02183321120508,5.53000020980835,0,13.0078125,186.73486328125,182.1034545898438,20,-30.27639748549601
2016-08-12 16:31:57.99,2016-08-12 18:31:57.99,298.2477387189865,54.261091,16.413037,5,46.01706927527361,3,43.41330051879488,4.929999828338623,0,11.953125,186.73486328125,182.1034545898438,20,-35.75528695001462
2016-08-12 16:31:58.58,2016-08-12 18:31:58.58,298.2477387189865,54.261091,16.413037,5,46.01706927527361,3,43.41330051879488,4.929999828338623,5.556909926631953,11.953125,186.73486328125,182.1034545898438,20,-35.75528695001462
2016-08-12 16:31:58.99,2016-08-12 18:31:58.99,299.2477378249168,54.261142,16.413038,5,45.97775626327808,3,49.00785587886767,5.070000171661377,5.556909926631953,356.1328125,186.73486328125,182.1034545898438,20,-39.94433903156118
2016-08-12 16:31:59.99,2016-08-12 18:31:59.99,300.2477371692657,54.261191,16.413019,5,45.5258309945129,3,54.63139876646329,5.320000171661377,5.556909926631953,349.453125,186.73486328125,182.1034545898438,20,-42.04065423479913
2016-08-12 16:32:00.99,2016-08-12 18:32:00.99,301.2477377653122,54.261237,16.413000,5,45.37998526543453,3,59.91284182766844,5.5,5.556909926631953,343.828125,186.73486328125,182.1034545898438,20,-42.43970639015222
2016-08-12 16:32:01.99,2016-08-12 18:32:01.99,302.2477376461029,54.261286,16.412970,5,45.58134659746152,3,65.66187958560984,5.539999961853027,5.556909926631953,342.421875,186.73486328125,182.1034545898438,20,-44.42088378572682
2016-08-12 16:32:02.99,2016-08-12 18:32:02.99,303.2477384209633,54.261335,16.412947,5,45.45209124319216,3,71.39912120686746,5.449999809265137,5.556909926631953,341.015625,186.73486328125,182.1034545898438,20,-45.25300245805981
2016-08-12 16:32:03.99,2016-08-12 18:32:03.99,304.2477386593819,54.261382,16.412923,5,45.62599805341802,3,76.85388254457096,5.539999961853027,5.556909926631953,342.0703125,186.73486328125,182.1034545898438,20,-47.23829108054156
2016-08-12 16:32:04.99,2016-08-12 18:32:04.99,305.2477380037308,54.261434,16.412897,5,45.43867984500709,3,82.79379543032489,5.71999979019165,5.556909926631953,344.8828125,186.73486328125,182.1034545898438,20,-47.91462193062929
2016-08-12 16:32:05.99,2016-08-12 18:32:05.99,306.2477385997772,54.261492,16.412871,5,45.45609151770466,3,89.5584643965913,7.690000057220459,5.556909926631953,343.828125,186.73486328125,182.1034545898438,20,-50.72713413297434
2016-08-12 16:32:06.99,2016-08-12 18:32:06.99,307.2477387785912,54.261564,16.412830,5,45.80049105599559,3,97.91780819010768,8.909999847412109,5.556909926631953,342.421875,186.73486328125,182.1034545898438,20,-53.93332638702457
2016-08-12 16:32:07.99,2016-08-12 18:32:07.99,308.2477378845215,54.261636,16.412787,5,46.30968892977307,4,106.4958105049691,9.090000152587891,5.556909926631953,342.7734375,186.73486328125,182.1034545898438,20,-60.88353005875538
2016-08-12 16:32:08.99,2016-08-12 18:32:08.99,309.2477372288704,54.261723,16.412746,5,45.98007101806711,3,116.434822323111,9.340000152587891,5.556909926631953,342.7734375,186.73486328125,182.1034545898438,20,-67.57332437393598
2016-08-12 16:32:09.99,2016-08-12 18:32:09.99,310.2477380633354,54.261797,16.412708,5,46.04790965523537,3,125.1393090447982,8.510000228881836,5.556909926631953,343.4765625,186.73486328125,182.1034545898438,20,-77.14978033026172
2016-08-12 16:32:10.99,2016-08-12 18:32:10.99,311.2477377653122,54.261858,16.412671,5,45.53295364180943,3,132.3166841173056,7.539999961853027,5.556909926631953,341.71875,186.73486328125,182.1034545898438,20,-84.72127242332623
2016-08-12 16:32:11.99,2016-08-12 18:32:11.99,312.2477382421494,54.261920,16.412631,5,45.34321230720023,3,139.6583053572393,6.920000076293945,5.556909926631953,341.3671875,186.73486328125,182.1034545898438,20,-91.37562886228
2016-08-12 16:32:12.99,2016-08-12 18:32:12.99,313.2477378249168,54.261971,16.412596,5,45.08219380386187,3,145.7927265141587,6.320000171661377,5.556909926631953,342.0703125,186.73486328125,182.1034545898438,20,-95.80890486266938
2016-08-12 16:32:13.53,2016-08-12 18:32:13.53,313.2477378249168,54.261971,16.412596,5,45.08219380386187,3,145.7927265141587,6.320000171661377,6.320000171661377,342.0703125,186.73486328125,182.1034545898438,20,-95.80890486266938
2016-08-12 16:32:13.99,2016-08-12 18:32:13.99,314.2477377057076,54.262022,16.412570,5,45.08219380386187,3,151.762976230974,5.920000076293945,6.320000171661377,339.609375,186.73486328125,182.1034545898438,20,-98.77830499416787
2016-08-12 16:32:14.99,2016-08-12 18:32:14.99,315.2477371692657,54.262075,16.412547,5,44.93863513346425,3,157.7919437240997,5.289999961853027,6.320000171661377,346.9921875,186.73486328125,182.1034545898438,20,-102.9768291763024
2016-08-12 16:32:15.99,2016-08-12 18:32:15.99,316.2477381825447,54.262119,16.412536,5,44.93268753945016,3,162.797671001037,4.320000171661377,6.320000171661377,344.53125,186.73486328125,182.1034545898438,20,-104.9848149716409
2016-08-12 16:32:17.99,2016-08-12 18:32:17.99,318.2477371692657,54.262179,16.412516,5,44.94613105821078,3,169.535580887076,3.670000076293945,6.320000171661377,345.234375,186.73486328125,182.1034545898438,20,-98.08532603417727
2016-08-12 16:32:19.99,2016-08-12 18:32:19.99,320.2477377057076,54.262244,16.412483,5,44.89938421351,3,177.0996064126223,4.230000019073486,6.320000171661377,349.1015625,186.73486328125,182.1034545898438,20,-93.47194564045445
2016-08-12 16:32:21.99,2016-08-12 18:32:21.99,322.2477384805679,54.262294,16.412471,5,44.99863902361784,3,182.7735211316779,3.630000114440918,6.320000171661377,351.9140625,186.73486328125,182.1034545898438,20,-93.99237917116193
2016-08-12 16:32:23.99,2016-08-12 18:32:23.99,324.2477380633354,54.262366,16.412458,5,45.25085731466564,3,190.8015873298122,3.670000076293945,6.320000171661377,351.9140625,186.73486328125,182.1034545898438,20,-100.1295763965792
2016-08-12 16:32:28.57,2016-08-12 18:32:28.57,324.2477380633354,54.262366,16.412458,5,45.29390770804518,3,190.8015873298122,3.670000076293945,0,351.9140625,186.73486328125,182.1034545898438,20,-100.1295763965792
2016-08-12 16:32:43.57,2016-08-12 18:32:43.57,324.2477380633354,54.262366,16.412458,5,45.19992328794514,3,190.8015873298122,3.670000076293945,0,351.9140625,186.73486328125,182.1034545898438,20,-100.1295763965792
2016-08-12 16:32:48.99,2016-08-12 18:32:48.99,349.2477381229401,54.262432,16.412429,5,45.10915085736949,4,198.4298267693055,3.299999952316284,0,342.7734375,186.73486328125,182.1034545898438,20,-266.1968652298174
2016-08-12 16:32:50.99,2016-08-12 18:32:50.99,351.2477384209633,54.262523,16.412426,5,45.94396902855775,4,208.5605709479454,6.03000020980835,0,17.9296875,186.73486328125,182.1034545898438,20,140.8863538421382
2016-08-12 16:32:51.99,2016-08-12 18:32:51.99,352.2477388381958,54.262574,16.412487,5,45.78650144314379,4,215.4496154535258,7.579999923706055,0,40.78125,186.73486328125,182.1034545898438,20,105.7367787902737
2016-08-12 16:32:52.99,2016-08-12 18:32:52.99,353.247738301754,54.262619,16.412578,5,46.13375298355234,4,223.2023578636289,8.680000305175781,0,44.296875,186.73486328125,182.1034545898438,20,91.18644351427398
2016-08-12 16:32:53.99,2016-08-12 18:32:53.99,354.2477381825447,54.262690,16.412701,5,46.42577973763252,4,234.4317607945361,12.28999996185303,0,46.0546875,186.73486328125,182.1034545898438,20,84.70385119466384
2016-08-12 16:32:54.99,2016-08-12 18:32:54.99,355.2477387785912,54.262789,16.412863,5,47.23135206707437,4,249.6544542323382,16.43000030517578,0,46.0546875,186.73486328125,182.1034545898438,20,81.89893179259748
2016-08-12 16:32:55.99,2016-08-12 18:32:55.99,356.2477376461029,54.262898,16.413062,5,48.39045832645895,4,267.3556899951492,18.06999969482422,0,44.6484375,186.73486328125,182.1034545898438,20,74.82927645918184
2016-08-12 16:32:56.99,2016-08-12 18:32:56.99,357.2477383613586,54.263027,16.413271,5,48.45639695232991,4,287.1800198904887,19.6200008392334,0,43.2421875,186.73486328125,182.1034545898438,20,71.49568245514388
2016-08-12 16:32:57.99,2016-08-12 18:32:57.99,358.247737467289,54.263159,16.413482,5,49.05875941589856,4,307.3149467761966,20.5,0,43.59375,186.73486328125,182.1034545898438,20,67.83512639242075
2016-08-12 16:32:58.58,2016-08-12 18:32:58.58,358.247737467289,54.263159,16.413482,5,49.05875941589856,4,307.3149467761966,20.5,19.72215827755867,43.59375,186.73486328125,182.1034545898438,20,67.83512639242075
2016-08-12 16:32:58.99,2016-08-12 18:32:58.99,359.2477384209633,54.263294,16.413721,5,48.60661009328071,3,328.8998653747323,21.64999961853027,19.72215827755867,44.296875,186.73486328125,182.1034545898438,20,68.15458296343402
2016-08-12 16:32:59.99,2016-08-12 18:32:59.99,360.247738301754,54.263438,16.413958,5,48.85204317600981,3,351.1688352848012,22.40999984741211,19.72215827755867,44.6484375,186.73486328125,182.1034545898438,20,69.29213589463039
2016-08-12 16:33:00.99,2016-08-12 18:33:00.99,361.2477387189865,54.263592,16.414200,5,49.36625974747278,4,374.4348287191686,23.13999938964844,19.72215827755867,43.9453125,186.73486328125,182.1034545898438,20,69.43943003796345
2016-08-12 16:33:01.99,2016-08-12 18:33:01.99,362.2477383613586,54.263748,16.414451,5,49.2684784582358,3,398.2641409452195,23.60000038146973,19.72215827755867,43.9453125,186.73486328125,182.1034545898438,20,69.64555550473985
2016-08-12 16:33:02.99,2016-08-12 18:33:02.99,363.247737467289,54.263900,16.414700,5,49.13197232504325,3,421.6559738167225,23.8799991607666,19.72215827755867,44.296875,186.73486328125,182.1034545898438,20,70.33405729727694
2016-08-12 16:33:03.99,2016-08-12 18:33:03.99,364.2477378845215,54.264055,16.414952,5,49.51953706672481,3,445.4213273568916,23.98999977111816,19.72215827755867,44.6484375,186.73486328125,182.1034545898438,20,70.57069273006596
2016-08-12 16:33:04.99,2016-08-12 18:33:04.99,365.2477387189865,54.264207,16.415206,5,48.42734561235815,3,469.0838347243198,22.95000076293945,19.72215827755867,44.6484375,186.73486328125,182.1034545898438,20,74.08384691666949
2016-08-12 16:33:05.99,2016-08-12 18:33:05.99,366.2477375268936,54.264349,16.415450,5,48.51357041865073,3,491.5309737777142,22.84000015258789,19.72215827755867,44.296875,186.73486328125,182.1034545898438,20,79.45482095894366
2016-08-12 16:33:06.99,2016-08-12 18:33:06.99,367.2477381825447,54.264500,16.415699,5,48.65351367894468,3,514.7952200422098,23.02000045776367,19.72215827755867,43.9453125,186.73486328125,182.1034545898438,20,84.66888211762843
2016-08-12 16:33:07.99,2016-08-12 18:33:07.99,368.2477381229401,54.264646,16.415955,5,49.1233387350145,3,538.1112433416193,23.44000053405762,19.72215827755867,44.296875,186.73486328125,182.1034545898438,20,90.1690950963844
2016-08-12 16:33:08.99,2016-08-12 18:33:08.99,369.2477390766144,54.264800,16.416224,5,49.48114552334758,3,562.5321387354998,23.63999938964844,19.72215827755867,44.6484375,186.73486328125,182.1034545898438,20,93.69693821420459
2016-08-12 16:33:09.99,2016-08-12 18:33:09.99,370.2477385997772,54.264953,16.416482,5,49.48114552334758,3,586.4452669794077,24.23999977111816,19.72215827755867,44.296875,186.73486328125,182.1034545898438,20,97.63550914785016
2016-08-12 16:33:10.99,2016-08-12 18:33:10.99,371.2477381229401,54.265109,16.416746,5,50.13697756102911,3,610.8783655183498,24.46999931335449,19.72215827755867,45,186.73486328125,182.1034545898438,20,101.8458956274916
2016-08-12 16:33:11.99,2016-08-12 18:33:11.99,372.2477387189865,54.265264,16.417019,5,50.84904535129436,3,635.6598258555966,24.5,19.72215827755867,45.3515625,186.73486328125,182.1034545898438,20,103.6566061408563
2016-08-12 16:33:12.99,2016-08-12 18:33:12.99,373.2477377653122,54.265421,16.417288,5,50.79164295399835,3,660.3684608533747,24.20999908447266,19.72215827755867,45.3515625,186.73486328125,182.1034545898438,20,105.6798878413848
2016-08-12 16:33:13.58,2016-08-12 18:33:13.58,373.2477377653122,54.265421,16.417288,5,50.79164295399835,3,660.3684608533747,24.20999908447266,24.20999908447266,45.3515625,186.73486328125,182.1034545898438,20,105.6798878413848
2016-08-12 16:33:13.99,2016-08-12 18:33:13.99,374.2477378249168,54.265569,16.417533,5,51.36288247143835,3,683.2650175246921,22.73999977111816,24.20999908447266,45.3515625,186.73486328125,182.1034545898438,20,106.4531510160024
2016-08-12 16:33:14.99,2016-08-12 18:33:14.99,375.2477380037308,54.265703,16.417766,5,49.60609026983633,3,704.5725833676909,21.21999931335449,24.20999908447266,45,186.73486328125,182.1034545898438,20,108.3970410824135
2016-08-12 16:33:15.99,2016-08-12 18:33:15.99,376.2477389574051,54.265835,16.417982,5,48.74325356706058,3,724.8888332058325,19.76000022888184,24.20999908447266,44.296875,186.73486328125,182.1034545898438,20,112.0325584898157
2016-08-12 16:33:16.99,2016-08-12 18:33:16.99,377.2477373480797,54.265954,16.418193,5,48.41900608365142,3,743.9588397246387,18.92000007629395,24.20999908447266,45.3515625,186.73486328125,182.1034545898438,20,116.1089748082675
2016-08-12 16:33:17.99,2016-08-12 18:33:17.99,378.2477375864983,54.266072,16.418384,5,47.65343594343365,3,762.0277542309194,17.73999977111816,24.20999908447266,42.1875,186.73486328125,182.1034545898438,20,123.3535158204769
2016-08-12 16:33:18.99,2016-08-12 18:33:18.99,379.2477383613586,54.266196,16.418583,5,46.20755261843883,3,780.9255138424198,17.04000091552734,24.20999908447266,45.703125,186.73486328125,182.1034545898438,20,136.8568178166855
2016-08-12 16:33:19.99,2016-08-12 18:33:19.99,380.247737288475,54.266305,16.418757,5,46.58862220847003,3,797.5042209877845,16.52000045776367,24.20999908447266,41.8359375,186.73486328125,182.1034545898438,20,151.643452244719
2016-08-12 16:33:20.99,2016-08-12 18:33:20.99,381.2477377653122,54.266410,16.418924,5,45.29886230912855,3,813.4485727550345,16.61000061035156,24.20999908447266,43.9453125,186.73486328125,182.1034545898438,20,180.2315489324133
2016-08-12 16:33:21.99,2016-08-12 18:33:21.99,382.2477373480797,54.266516,16.419104,5,45.79165343169952,3,830.0914480624269,17.30999946594238,24.20999908447266,42.890625,186.73486328125,182.1034545898438,20,221.419382650503
2016-08-12 16:33:22.99,2016-08-12 18:33:22.99,383.2477378845215,54.266628,16.419290,5,46.14075585625976,3,847.5227184413308,17.86000061035156,24.20999908447266,45,186.73486328125,182.1034545898438,20,281.5493800205098
2016-08-12 16:33:23.99,2016-08-12 18:33:23.99,384.2477373480797,54.266748,16.419468,5,46.66068225683266,4,865.1154382898441,18.07999992370605,24.20999908447266,42.5390625,186.73486328125,182.1034545898438,20,390.6233659931713
2016-08-12 16:33:24.99,2016-08-12 18:33:24.99,385.2477378249168,54.266863,16.419653,5,46.31534205260472,3,882.6994273869205,18.18000030517578,24.20999908447266,44.296875,186.73486328125,182.1034545898438,20,590.0715789260387
2016-08-12 16:33:25.99,2016-08-12 18:33:25.99,386.2477377653122,54.266981,16.419867,5,46.0194177625293,4,901.8483736284343,18.64999961853027,24.20999908447266,42.890625,186.73486328125,182.1034545898438,20,1365.388961002548
2016-08-12 16:33:26.99,2016-08-12 18:33:26.99,387.2477388381958,54.267102,16.420065,5,46.20564655640885,3,920.4597997605956,18.64999961853027,24.20999908447266,44.6484375,186.73486328125,182.1034545898438,20,-5449.261733138779
2016-08-12 16:33:27.99,2016-08-12 18:33:27.99,388.2477380037308,54.267221,16.420269,5,45.65264551292083,3,939.1692495962968,18.70999908447266,24.20999908447266,44.6484375,186.73486328125,182.1034545898438,20,-878.8284388732086
2016-08-12 16:33:28.57,2016-08-12 18:33:28.57,388.2477380037308,54.267221,16.420269,5,45.65264551292083,3,939.1692495962968,18.70999908447266,18.63070289140953,44.6484375,186.73486328125,182.1034545898438,20,-878.8284388732086
2016-08-12 16:33:28.99,2016-08-12 18:33:28.99,389.2477377653122,54.267336,16.420475,5,45.51724623870307,3,957.7617377385779,18.90999984741211,18.63070289140953,45,186.73486328125,182.1034545898438,20,-552.7241251724726
2016-08-12 16:33:29.99,2016-08-12 18:33:29.99,390.2477388381958,54.267453,16.420684,5,45.32632535530719,4,976.5439488281985,19.15999984741211,18.63070289140953,44.296875,186.73486328125,182.1034545898438,20,-391.9115842580794
2016-08-12 16:33:30.99,2016-08-12 18:33:30.99,391.2477374076843,54.267575,16.420892,5,46.00887666445966,4,995.7207062731684,19.20000076293945,18.63070289140953,44.296875,186.73486328125,182.1034545898438,20,-332.7843769922306
2016-08-12 16:33:31.99,2016-08-12 18:33:31.99,392.2477374076843,54.267704,16.421090,5,45.21458811926517,4,1015.040127545121,19.14999961853027,18.63070289140953,45,186.73486328125,182.1034545898438,20,-271.3683971219834
2016-08-12 16:33:32.99,2016-08-12 18:33:32.99,393.2477378249168,54.267827,16.421286,5,44.09868248643208,3,1033.725421807659,19.06999969482422,18.63070289140953,42.1875,186.73486328125,182.1034545898438,20,-220.4173725474942
2016-08-12 16:33:33.99,2016-08-12 18:33:33.99,394.2477383613586,54.267956,16.421480,5,44.23999457670449,3,1052.825246306546,18.98999977111816,18.63070289140953,44.296875,186.73486328125,182.1034545898438,20,-182.4961848257067
2016-08-12 16:33:34.99,2016-08-12 18:33:34.99,395.2477387189865,54.268088,16.421674,5,43.92704710761721,3,1072.182035933092,19.13999938964844,18.63070289140953,38.3203125,186.73486328125,182.1034545898438,20,-163.5858107202086
2016-08-12 16:33:35.99,2016-08-12 18:33:35.99,396.2477375864983,54.268225,16.421851,5,42.91028817465114,3,1091.348899100623,19.29999923706055,18.63070289140953,38.671875,186.73486328125,182.1034545898438,20,-149.5819009610076
2016-08-12 16:33:36.99,2016-08-12 18:33:36.99,397.2477388381958,54.268361,16.422026,5,42.35992562242542,3,1110.203590656719,19.01000022888184,18.63070289140953,35.15625,186.73486328125,182.1034545898438,20,-134.88333770296
2016-08-12 16:33:37.99,2016-08-12 18:33:37.99,398.2477387785912,54.268500,16.422191,5,41.17872289538897,3,1129.086765986443,18.32999992370605,18.63070289140953,34.1015625,186.73486328125,182.1034545898438,20,-121.3976421394299
2016-08-12 16:33:38.99,2016-08-12 18:33:38.99,399.2477386593819,54.268640,16.422333,5,41.17872289538897,3,1147.167174873266,17.73999977111816,18.63070289140953,33.75,186.73486328125,182.1034545898438,20,-108.4786249943481
2016-08-12 16:33:39.99,2016-08-12 18:33:39.99,400.2477386593819,54.268773,16.422489,5,40.23864142833233,3,1165.099597068847,17.20999908447266,18.63070289140953,34.1015625,186.73486328125,182.1034545898438,20,-97.07203458382135
2016-08-12 16:33:40.99,2016-08-12 18:33:40.99,401.2477380037308,54.268896,16.422638,5,38.94685508057893,3,1181.935655558663,16.54000091552734,18.63070289140953,33.3984375,186.73486328125,182.1034545898438,20,-84.67188261425514
2016-08-12 16:33:41.99,2016-08-12 18:33:41.99,402.2477380633354,54.269017,16.422777,5,38.96370447377137,3,1198.099443072676,16.17000007629395,18.63070289140953,33.3984375,186.73486328125,182.1034545898438,20,-74.71797602225887
2016-08-12 16:33:42.99,2016-08-12 18:33:42.99,403.2477383613586,54.269137,16.422920,5,36.86428921978944,3,1214.381272904132,15.97999954223633,18.63070289140953,33.3984375,186.73486328125,182.1034545898438,20,-65.82142416416349
2016-08-12 16:33:43.52,2016-08-12 18:33:43.52,403.2477383613586,54.269137,16.422920,5,36.86428921978944,3,1214.381272904132,15.97999954223633,16.13091226066545,33.3984375,186.73486328125,182.1034545898438,20,-65.82142416416349
2016-08-12 16:33:43.99,2016-08-12 18:33:43.99,404.2477378249168,54.269260,16.423053,5,36.71186757122467,3,1230.603353719645,15.56999969482422,16.13091226066545,33.046875,186.73486328125,182.1034545898438,20,-58.51348693656564
2016-08-12 16:33:44.99,2016-08-12 18:33:44.99,405.2477376461029,54.269373,16.423180,5,36.52083512377391,3,1245.622339958016,14.77000045776367,16.13091226066545,34.453125,186.73486328125,182.1034545898438,20,-52.97890894849706
2016-08-12 16:33:45.99,2016-08-12 18:33:45.99,406.2477375864983,54.269479,16.423301,5,35.60748218193406,3,1259.831622520194,14.47999954223633,16.13091226066545,35.15625,186.73486328125,182.1034545898438,20,-48.78283775733065
2016-08-12 16:33:46.99,2016-08-12 18:33:46.99,407.2477374076843,54.269583,16.423428,5,35.16216399517133,3,1274.043447675676,14.23999977111816,16.13091226066545,37.265625,186.73486328125,182.1034545898438,20,-45.45352060405735
2016-08-12 16:33:47.99,2016-08-12 18:33:47.99,408.2477375864983,54.269674,16.423564,5,34.54114618768045,3,1287.426445622815,13.39000034332275,16.13091226066545,40.78125,186.73486328125,182.1034545898438,20,-43.14010699349753
2016-08-12 16:33:48.99,2016-08-12 18:33:48.99,409.2477388381958,54.269758,16.423698,5,33.66662667666802,3,1300.27641379358,13.03999996185303,16.13091226066545,43.9453125,186.73486328125,182.1034545898438,20,-41.20935731952724
2016-08-12 16:33:49.99,2016-08-12 18:33:49.99,410.2477388381958,54.269839,16.423834,5,33.47471604053308,3,1312.833785856804,12.9399995803833,16.13091226066545,45.703125,186.73486328125,182.1034545898438,20,-39.67161172366892
2016-08-12 16:33:50.99,2016-08-12 18:33:50.99,411.2477379441261,54.269924,16.423972,5,33.39792920180138,3,1325.903308353612,13.27000045776367,16.13091226066545,47.109375,186.73486328125,182.1034545898438,20,-39.23560027068963
2016-08-12 16:33:51.99,2016-08-12 18:33:51.99,412.2477378845215,54.270002,16.424136,5,34.1693441326469,3,1339.683364024332,13.5600004196167,16.13091226066545,47.8125,186.73486328125,182.1034545898438,20,-39.09514402341533
